term,Estimate,StdError,t,ddfm,p.val
(Intercept),1.74554472808986,0.0813300566626544,21.4624801668359,689,<0.001
age_rz,0.00133799003763365,0.00939555771803502,0.142406664701271,689,0.443
gendermale,0.0262561288856617,0.0404847864305013,0.648543099782301,689,0.258
ethnicblack,0.00141127199761965,0.0641544587927049,0.0219980344963977,689,0.491
ethnichispanic,0.00520525522484493,0.0743450612508189,0.0700148084791254,689,0.472
ethnicother,0.0433918207730239,0.0702853235660159,0.617366735635326,689,0.269
TGbudesonide:visitc,0.0190830020453504,0.000448102508701627,42.5862423770917,8973,<0.001
TGnedocromil:visitc,0.0199204214941994,0.000440878974588727,45.1834236658307,8973,<0.001
TGplacebo:visitc,0.0187153859982346,0.000381982793681193,48.995363947871,8973,<0.001
