"effect_name","estimate","se","t_statistic","dof","p_value","ci_95"
"(Intercept)",1.78994784689024,0.076136471562742,23.5097294391321,8970,"<0.001","[1.64, 1.94]"
"age_rz",0.00138248936084903,0.00820053021496616,0.168585362727639,689,"0.866","[-0.01, 0.02]"
"gendermale",0.0180336539141546,0.0359839054553574,0.501158884394238,689,"0.616","[-0.05, 0.09]"
"ethnicblack",-0.0198112719696529,0.0534972808656353,-0.370322970608754,689,"0.711","[-0.12, 0.09]"
"ethnichispanic",-0.0251750692369272,0.0601010420105951,-0.418879080873326,689,"0.675","[-0.14, 0.09]"
"ethnicother",-0.00726007844758522,0.0637405720942487,-0.113900428079783,689,"0.909","[-0.13, 0.12]"
"TGbudesonide:visitc",0.0197925581355024,0.000660236856504227,29.9779661503579,8970,"<0.001","[0.02, 0.02]"
"TGnedocromil:visitc",0.0212338893021649,0.000690788646180299,30.7386194309609,8970,"<0.001","[0.02, 0.02]"
"TGplacebo:visitc",0.0211754051193202,0.000617941093527665,34.2676759016548,8970,"<0.001","[0.02, 0.02]"
"TGbudesonide:visitc.sp",-0.00346545019851369,0.00120114323486564,-2.88512651773902,8970,"0.004","[-0.01, -0.00]"
"TGnedocromil:visitc.sp",-0.00306451713942137,0.00127575876846345,-2.40211332673208,8970,"0.016","[-0.01, -0.00]"
"TGplacebo:visitc.sp",-0.00589376871132012,0.00111237132458616,-5.29838245651722,8970,"<0.001","[-0.01, -0.00]"
