visitc,0,2,4,12,16,24,28,36,40,48,52,60,72,84,96,108
0,0.236,0.237,0.232,0.247,0.24,0.242,0.247,0.247,0.242,0.258,0.248,0.251,0.232,0.212,0.198,0.184
2,0.237,0.259,0.254,0.27,0.263,0.265,0.27,0.27,0.265,0.282,0.271,0.274,0.254,0.232,0.217,0.201
4,0.232,0.254,0.265,0.283,0.275,0.277,0.282,0.282,0.277,0.295,0.284,0.287,0.266,0.243,0.227,0.211
12,0.247,0.27,0.283,0.326,0.316,0.319,0.325,0.325,0.319,0.34,0.327,0.331,0.306,0.28,0.261,0.243
16,0.24,0.263,0.275,0.316,0.326,0.329,0.335,0.335,0.329,0.35,0.337,0.341,0.316,0.289,0.269,0.25
24,0.242,0.265,0.277,0.319,0.329,0.358,0.364,0.364,0.357,0.381,0.366,0.37,0.343,0.314,0.293,0.272
28,0.247,0.27,0.282,0.325,0.335,0.364,0.403,0.403,0.395,0.421,0.405,0.409,0.379,0.347,0.323,0.3
36,0.247,0.27,0.282,0.325,0.335,0.364,0.403,0.45,0.441,0.47,0.452,0.457,0.424,0.387,0.361,0.336
40,0.242,0.265,0.277,0.319,0.329,0.357,0.395,0.441,0.471,0.502,0.483,0.488,0.452,0.413,0.386,0.358
48,0.258,0.282,0.295,0.34,0.35,0.381,0.421,0.47,0.502,0.589,0.566,0.573,0.531,0.485,0.452,0.42
52,0.248,0.271,0.284,0.327,0.337,0.366,0.405,0.452,0.483,0.566,0.57,0.577,0.534,0.488,0.456,0.423
60,0.251,0.274,0.287,0.331,0.341,0.37,0.409,0.457,0.488,0.573,0.577,0.629,0.583,0.533,0.497,0.462
72,0.232,0.254,0.266,0.306,0.316,0.343,0.379,0.424,0.452,0.531,0.534,0.583,0.6,0.549,0.512,0.476
84,0.212,0.232,0.243,0.28,0.289,0.314,0.347,0.387,0.413,0.485,0.488,0.533,0.549,0.584,0.545,0.506
96,0.198,0.217,0.227,0.261,0.269,0.293,0.323,0.361,0.386,0.452,0.456,0.497,0.512,0.545,0.578,0.537
108,0.184,0.201,0.211,0.243,0.25,0.272,0.3,0.336,0.358,0.42,0.423,0.462,0.476,0.506,0.537,0.579
